Theme,Topic,Country,Year,Indicator,Value
Theme 4: Tax Admin A,Organizational profile,Mauritius,2014,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Morocco,2014,Do your taxpayers pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Morocco,2014,Is it compulsory for all taxpayers to pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Morocco,2014,Is it compulsory for all taxpayers pay their taxes through mobile payment?,/
Theme 4: Tax Admin A,Organizational profile,Mozambique,2014,Do your taxpayers pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Mozambique,2014,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Mozambique,2014,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Namibia,2014,Do your taxpayers pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Namibia,2014,Is it compulsory for all taxpayers to pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Namibia,2014,Is it compulsory for all taxpayers pay their taxes through mobile payment?,/
Theme 4: Tax Admin A,Organizational profile,Niger,2014,Do your taxpayers pay their taxes electronically?,
Theme 4: Tax Admin A,Organizational profile,Niger,2014,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Niger,2014,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Nigeria,2014,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Nigeria,2014,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Nigeria,2014,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Rwanda,2014,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Rwanda,2014,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Rwanda,2014,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Senegal,2014,Do your taxpayers pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Senegal,2014,Is it compulsory for all taxpayers to pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Senegal,2014,Is it compulsory for all taxpayers pay their taxes through mobile payment?,/
Theme 4: Tax Admin A,Organizational profile,Seychelles,2014,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Seychelles,2014,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Seychelles,2014,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Sudan,2014,Do your taxpayers pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Sudan,2014,Is it compulsory for all taxpayers to pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Sudan,2014,Is it compulsory for all taxpayers pay their taxes through mobile payment?,/
Theme 4: Tax Admin A,Organizational profile,Tanzania,2014,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Tanzania,2014,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Tanzania,2014,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Togo,2014,Do your taxpayers pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Togo,2014,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Togo,2014,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Uganda,2014,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Uganda,2014,Is it compulsory for all taxpayers to pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Uganda,2014,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Zambia,2014,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Zambia,2014,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Zambia,2014,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Zimbabwe,2014,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Zimbabwe,2014,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Zimbabwe,2014,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Angola,2015,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Angola,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Angola,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Benin,2015,Do your taxpayers pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Benin,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Benin,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Botswana,2015,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Botswana,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Botswana,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Burundi,2015,Do your taxpayers pay their taxes electronically?,
Theme 4: Tax Admin A,Organizational profile,Burundi,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,
Theme 4: Tax Admin A,Organizational profile,Burundi,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,
Theme 4: Tax Admin A,Organizational profile,Cameroon,2015,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Cameroon,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Cameroon,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Chad,2015,Do your taxpayers pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Chad,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Chad,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,/
Theme 4: Tax Admin A,Organizational profile,Congo,2015,Do your taxpayers pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Congo,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Congo,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,/
Theme 4: Tax Admin A,Organizational profile,Eswatini,2015,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Eswatini,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Eswatini,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Gabon,2015,Do your taxpayers pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Gabon,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Gabon,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,/
Theme 4: Tax Admin A,Organizational profile,Gambia,2015,Do your taxpayers pay their taxes electronically?,
Theme 4: Tax Admin A,Organizational profile,Gambia,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Gambia,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Ghana,2015,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Ghana,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Ghana,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Guinea-Bissau,2015,Do your taxpayers pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Guinea-Bissau,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Guinea-Bissau,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,/
Theme 4: Tax Admin A,Organizational profile,Kenya,2015,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Kenya,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Kenya,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Lesotho,2015,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Lesotho,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Lesotho,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Liberia,2015,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Liberia,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Liberia,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Madagascar,2015,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Madagascar,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Madagascar,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Malawi,2015,Do your taxpayers pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Malawi,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Malawi,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Mauritius,2015,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Mauritius,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Mauritius,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Morocco,2015,Do your taxpayers pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Morocco,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Morocco,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,/
Theme 4: Tax Admin A,Organizational profile,Mozambique,2015,Do your taxpayers pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Mozambique,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Mozambique,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Namibia,2015,Do your taxpayers pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Namibia,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Namibia,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,/
Theme 4: Tax Admin A,Organizational profile,Niger,2015,Do your taxpayers pay their taxes electronically?,
Theme 4: Tax Admin A,Organizational profile,Niger,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Niger,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Nigeria,2015,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Nigeria,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Nigeria,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Rwanda,2015,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Rwanda,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Rwanda,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Senegal,2015,Do your taxpayers pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Senegal,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Senegal,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,/
Theme 4: Tax Admin A,Organizational profile,Seychelles,2015,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Seychelles,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Seychelles,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Sudan,2015,Do your taxpayers pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Sudan,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Sudan,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,/
Theme 4: Tax Admin A,Organizational profile,Tanzania,2015,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Tanzania,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Tanzania,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Togo,2015,Do your taxpayers pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Togo,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Togo,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Uganda,2015,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Uganda,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Uganda,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Zambia,2015,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Zambia,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Zambia,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Zimbabwe,2015,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Zimbabwe,2015,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Zimbabwe,2015,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Angola,2016,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Angola,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Angola,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Benin,2016,Do your taxpayers pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Benin,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Benin,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Botswana,2016,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Botswana,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Botswana,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Burundi,2016,Do your taxpayers pay their taxes electronically?,
Theme 4: Tax Admin A,Organizational profile,Burundi,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,
Theme 4: Tax Admin A,Organizational profile,Burundi,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,
Theme 4: Tax Admin A,Organizational profile,Cameroon,2016,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Cameroon,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Cameroon,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Chad,2016,Do your taxpayers pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Chad,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Chad,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,/
Theme 4: Tax Admin A,Organizational profile,Congo,2016,Do your taxpayers pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Congo,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Congo,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,/
Theme 4: Tax Admin A,Organizational profile,Eswatini,2016,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Eswatini,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Eswatini,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Gabon,2016,Do your taxpayers pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Gabon,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Gabon,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,/
Theme 4: Tax Admin A,Organizational profile,Gambia,2016,Do your taxpayers pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Gambia,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Gambia,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Ghana,2016,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Ghana,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Ghana,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Guinea-Bissau,2016,Do your taxpayers pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Guinea-Bissau,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Guinea-Bissau,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,/
Theme 4: Tax Admin A,Organizational profile,Kenya,2016,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Kenya,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Kenya,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Lesotho,2016,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Lesotho,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Lesotho,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Liberia,2016,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Liberia,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Liberia,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Madagascar,2016,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Madagascar,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Madagascar,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Malawi,2016,Do your taxpayers pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Malawi,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Malawi,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Mauritius,2016,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Mauritius,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Mauritius,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Morocco,2016,Do your taxpayers pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Morocco,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Morocco,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,/
Theme 4: Tax Admin A,Organizational profile,Mozambique,2016,Do your taxpayers pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Mozambique,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Mozambique,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Namibia,2016,Do your taxpayers pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Namibia,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Namibia,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,/
Theme 4: Tax Admin A,Organizational profile,Niger,2016,Do your taxpayers pay their taxes electronically?,
Theme 4: Tax Admin A,Organizational profile,Niger,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Niger,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Nigeria,2016,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Nigeria,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Nigeria,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Rwanda,2016,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Rwanda,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Rwanda,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Senegal,2016,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Senegal,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Senegal,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Seychelles,2016,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Seychelles,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Seychelles,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Sudan,2016,Do your taxpayers pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Sudan,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Sudan,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,/
Theme 4: Tax Admin A,Organizational profile,Tanzania,2016,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Tanzania,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Tanzania,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Togo,2016,Do your taxpayers pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Togo,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Togo,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Uganda,2016,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Uganda,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Uganda,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Zambia,2016,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Zambia,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Zambia,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Zimbabwe,2016,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Zimbabwe,2016,Is it compulsory for all taxpayers to pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Zimbabwe,2016,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Angola,2017,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Angola,2017,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Angola,2017,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Benin,2017,Do your taxpayers pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Benin,2017,Is it compulsory for all taxpayers to pay their taxes electronically?,/
Theme 4: Tax Admin A,Organizational profile,Benin,2017,Is it compulsory for all taxpayers pay their taxes through mobile payment?,/
Theme 4: Tax Admin A,Organizational profile,Botswana,2017,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Botswana,2017,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Botswana,2017,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Burundi,2017,Do your taxpayers pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Burundi,2017,Is it compulsory for all taxpayers to pay their taxes electronically?,No
Theme 4: Tax Admin A,Organizational profile,Burundi,2017,Is it compulsory for all taxpayers pay their taxes through mobile payment?,No
Theme 4: Tax Admin A,Organizational profile,Cameroon,2017,Do your taxpayers pay their taxes electronically?,Yes
Theme 4: Tax Admin A,Organizational profile,Cameroon,2017,Is it compulsory for all taxpayers to pay their taxes electronically?,No
